X,Y,UsoVegetacaoIBGE_tif,altitude_br_tif,declividade_br_tif,density3_br_tif,ModisGPP_MOD17A2_2010_rec_tif,ModisNPP_MOD17A3_2010_rec_tif,ModisVCF_MOD44B_2010_rec_tif,sa2001tree_br_tif,UsoAntropicoIBGE_tif
-54.51834899,-1.126479176,2,318.61,359008,23.43,360,25643,77,96,1
-53.06007399,-4.443013176,16,217.91,34366.06,8.68,323,25362,65,55,1
-53.19340199,-1.576461176,25,226.51,848527.12,19.1,641,23262,83,79,1
-56.80992399,-7.909541176,36,322.92,351139.41,14.46,658,24391,79,80,1
-56.92658599,-0.218182176,2,130.5,28974.29,20.83,213,27367,76,85,1
-50.55184099,-0.334844176,6,15.4,24146.79,10.12,583,22577,68,72,1
-57.20990799,-5.051322176,2,275.02,266430.59,7.85,594,26294,79,85,1
-50.16018999,-4.318018176,5,142.71,85571.91,10.09,174,15620,16,62,7
-53.41839299,0.473456824,2,331.86,422634.81,12.36,269,21885,65,81,1
-50.78516499,-4.076361176,2,117.39,38524.11,22.53,278,21787,71,73,1
-55.61830499,-4.593007176,2,196.96,196941.2,20.47,664,23422,79,89,1
-55.75163299,-5.992951176,16,189.04,94914.59,24.69,657,22164,80,78,1
-54.76000599,-3.593047176,5,156.23,88113.81,16.51,663,24488,73,81,2
-56.76825899,-4.193023176,28,112.74,73581.26,10.75,435,26362,80,84,1
-54.03503499,-6.101280176,16,229.6,66198.23,13.98,591,25545,80,80,1
-53.36006199,-4.734668176,16,241.32,412050.41,9.85,217,22328,63,76,1
-54.54334799,-1.443133176,16,470.17,707029.81,24.89,679,26624,80,74,1
-54.31002399,0.631783824,6,348.3,236818,17.52,305,25437,63,88,1
-58.64318399,0.756778824,2,241.04,303056.91,15.19,407,26432,68,99,1
-52.44343199,-1.034816176,28,6.62,13947.29,31.93,621,22665,29,68,1
-55.07665999,-4.626339176,13,279.2,238615.2,14.96,521,25420,69,90,1
-56.97658399,-8.926167176,36,237.65,148253.2,15.43,191,25706,77,76,1
-56.78492499,-8.651178176,7,320.32,212418.3,16.55,635,25575,79,86,1
